supplier_id,supplier_name,region,country,product_category,timestamp,lead_time_days,inventory_level,order_quantity,on_time_delivery_rate,defect_rate,transportation_cost,demand_variability,disruption_label
1,Apex Electronics,Asia,China,Electronics,2023-01-01,8.2,1050,520,0.91,0.018,1050,0.12,0
1,Apex Electronics,Asia,China,Electronics,2023-01-08,9.1,980,510,0.89,0.022,1100,0.14,0
1,Apex Electronics,Asia,China,Electronics,2023-01-15,12.5,820,490,0.78,0.041,1350,0.21,1
1,Apex Electronics,Asia,China,Electronics,2023-01-22,14.2,710,480,0.72,0.055,1480,0.28,1
1,Apex Electronics,Asia,China,Electronics,2023-01-29,10.1,890,505,0.85,0.031,1180,0.17,0
1,Apex Electronics,Asia,China,Electronics,2023-02-05,8.8,1020,515,0.90,0.020,1070,0.13,0
1,Apex Electronics,Asia,China,Electronics,2023-02-12,8.5,1060,525,0.92,0.017,1040,0.11,0
1,Apex Electronics,Asia,China,Electronics,2023-02-19,9.3,990,508,0.88,0.024,1120,0.15,0
2,GlobalTex,Asia,Bangladesh,Textiles,2023-01-01,6.5,2100,800,0.94,0.012,850,0.09,0
2,GlobalTex,Asia,Bangladesh,Textiles,2023-01-08,7.2,1980,790,0.91,0.016,890,0.11,0
2,GlobalTex,Asia,Bangladesh,Textiles,2023-01-15,15.8,1200,750,0.65,0.072,1600,0.35,1
2,GlobalTex,Asia,Bangladesh,Textiles,2023-01-22,18.2,900,720,0.58,0.089,1850,0.42,1
2,GlobalTex,Asia,Bangladesh,Textiles,2023-01-29,16.5,1050,740,0.62,0.078,1720,0.38,1
2,GlobalTex,Asia,Bangladesh,Textiles,2023-02-05,11.2,1450,770,0.78,0.038,1200,0.22,0
2,GlobalTex,Asia,Bangladesh,Textiles,2023-02-12,7.8,1850,785,0.88,0.019,920,0.13,0
3,AutoParts Pro,Europe,Germany,Automotive,2023-01-01,5.2,3200,1200,0.96,0.008,1200,0.07,0
3,AutoParts Pro,Europe,Germany,Automotive,2023-01-08,5.5,3150,1190,0.95,0.009,1220,0.08,0
3,AutoParts Pro,Europe,Germany,Automotive,2023-01-15,6.1,3050,1180,0.93,0.011,1260,0.09,0
3,AutoParts Pro,Europe,Germany,Automotive,2023-01-22,8.9,2700,1150,0.82,0.028,1480,0.18,1
3,AutoParts Pro,Europe,Germany,Automotive,2023-01-29,7.2,2900,1165,0.88,0.019,1350,0.13,0
3,AutoParts Pro,Europe,Germany,Automotive,2023-02-05,5.8,3100,1185,0.94,0.010,1230,0.08,0
4,FreshFarm Co,Americas,Brazil,Agriculture,2023-01-01,3.1,5500,2000,0.97,0.025,650,0.18,0
4,FreshFarm Co,Americas,Brazil,Agriculture,2023-01-08,3.5,5200,1980,0.95,0.028,680,0.20,0
4,FreshFarm Co,Americas,Brazil,Agriculture,2023-01-15,8.2,3800,1850,0.72,0.065,1100,0.38,1
4,FreshFarm Co,Americas,Brazil,Agriculture,2023-01-22,11.5,2900,1750,0.61,0.088,1450,0.48,1
4,FreshFarm Co,Americas,Brazil,Agriculture,2023-01-29,9.1,3400,1820,0.68,0.072,1250,0.42,1
4,FreshFarm Co,Americas,Brazil,Agriculture,2023-02-05,5.2,4500,1920,0.85,0.038,820,0.25,0
5,MedSupply Inc,Americas,USA,Pharmaceuticals,2023-01-01,4.2,8000,3000,0.98,0.005,1800,0.05,0
5,MedSupply Inc,Americas,USA,Pharmaceuticals,2023-01-08,4.5,7800,2980,0.97,0.006,1820,0.06,0
5,MedSupply Inc,Americas,USA,Pharmaceuticals,2023-01-15,5.1,7500,2950,0.95,0.008,1870,0.07,0
5,MedSupply Inc,Americas,USA,Pharmaceuticals,2023-01-22,6.8,7000,2900,0.89,0.015,1980,0.10,0
5,MedSupply Inc,Americas,USA,Pharmaceuticals,2023-01-29,5.5,7300,2930,0.93,0.010,1910,0.08,0
5,MedSupply Inc,Americas,USA,Pharmaceuticals,2023-02-05,4.8,7600,2960,0.96,0.007,1850,0.06,0
6,SteelWorks Ltd,Europe,Ukraine,Raw Materials,2023-01-01,7.5,4200,1500,0.88,0.022,1400,0.15,0
6,SteelWorks Ltd,Europe,Ukraine,Raw Materials,2023-01-08,9.2,3800,1480,0.82,0.031,1550,0.20,1
6,SteelWorks Ltd,Europe,Ukraine,Raw Materials,2023-01-15,18.5,2100,1350,0.52,0.095,2800,0.55,1
6,SteelWorks Ltd,Europe,Ukraine,Raw Materials,2023-01-22,22.1,1500,1200,0.41,0.118,3200,0.68,1
6,SteelWorks Ltd,Europe,Ukraine,Raw Materials,2023-01-29,19.8,1800,1280,0.48,0.105,2950,0.62,1
6,SteelWorks Ltd,Europe,Ukraine,Raw Materials,2023-02-05,15.2,2500,1380,0.62,0.075,2400,0.45,1
7,TechComponents,Asia,Taiwan,Electronics,2023-01-01,6.8,2800,900,0.93,0.014,980,0.10,0
7,TechComponents,Asia,Taiwan,Electronics,2023-01-08,7.1,2750,895,0.92,0.015,1000,0.11,0
7,TechComponents,Asia,Taiwan,Electronics,2023-01-15,8.5,2500,880,0.87,0.022,1120,0.15,0
7,TechComponents,Asia,Taiwan,Electronics,2023-01-22,7.8,2650,888,0.89,0.019,1060,0.13,0
7,TechComponents,Asia,Taiwan,Electronics,2023-01-29,7.2,2720,892,0.91,0.016,1010,0.11,0
8,ChemBase Corp,Middle East,Saudi Arabia,Chemicals,2023-01-01,9.5,6000,2200,0.85,0.028,2100,0.18,0
8,ChemBase Corp,Middle East,Saudi Arabia,Chemicals,2023-01-08,11.2,5500,2150,0.79,0.038,2350,0.24,1
8,ChemBase Corp,Middle East,Saudi Arabia,Chemicals,2023-01-15,14.8,4800,2050,0.68,0.058,2800,0.35,1
8,ChemBase Corp,Middle East,Saudi Arabia,Chemicals,2023-01-22,12.5,5200,2100,0.74,0.045,2550,0.28,1
8,ChemBase Corp,Middle East,Saudi Arabia,Chemicals,2023-01-29,10.1,5700,2180,0.82,0.031,2200,0.20,0
9,LogiFreight,Asia,Singapore,Logistics,2023-01-01,2.5,1200,400,0.98,0.005,500,0.05,0
9,LogiFreight,Asia,Singapore,Logistics,2023-01-08,2.8,1180,398,0.97,0.006,510,0.06,0
9,LogiFreight,Asia,Singapore,Logistics,2023-01-15,4.2,1050,385,0.91,0.012,620,0.10,0
9,LogiFreight,Asia,Singapore,Logistics,2023-01-22,3.5,1100,390,0.94,0.009,570,0.08,0
10,PackagePro,Europe,Poland,Packaging,2023-01-01,4.8,3500,1100,0.94,0.010,750,0.08,0
10,PackagePro,Europe,Poland,Packaging,2023-01-08,5.1,3400,1090,0.93,0.011,770,0.09,0
10,PackagePro,Europe,Poland,Packaging,2023-01-15,6.8,3100,1060,0.87,0.019,880,0.13,0
10,PackagePro,Europe,Poland,Packaging,2023-01-22,5.5,3300,1075,0.91,0.013,810,0.10,0
